Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,
1,176,0,0,44.908924,0,5.414214,3,3,3,3,2,2,2,2,2,,,,,
2,149,0,0,41.320869,1,103.497475,15.656854,3.414214,2,,,,,,,,,,,
3,124,0,0,37.695296,0,3,2,,,,,,,,,,,,,
4,1275,1,1272,120.873586,0,25.899495,12.828427,6.242641,4.414214,3.414214,3,3,2,2,2,2,2,,,
5,209,0,0,48.938365,0,3,3,3,2,2,2,,,,,,,,,
6,1131,1,1082,113.843337,0,37.455844,25.727922,13.656854,7.828427,7.414214,7.414214,4.414214,2.414214,2,2,2,,,,
7,526,0,523,77.637079,0,15.485281,8.828427,6.828427,5.414214,3.828427,2,2,,,,,,,,
8,81,0,0,30.466238,2,116.740115,30.556349,6.828427,6.828427,3,3,2,2,2,,,,,,
9,603,1,601,83.125634,1,116.195959,23.727922,21.727922,18.899495,6.414214,4.828427,3.414214,2,2,2,,,,,
10,606,1,606,83.332158,1,189.07821,9.656854,6.828427,5.414214,4,3.414214,3,2,2,2,2,2,,,
11,918,1,869,102.564639,1,116.539105,102.083261,35.041631,10.656854,6.242641,5.414214,4.828427,3.414214,3,3,2,2,2,2,2
12,393,0,0,67.107736,0,10.242641,7.828427,3,3,2,2,2,2,,,,,,,
13,244,0,0,52.877538,1,56.012193,35.142136,18.727922,10.656854,9.242641,3,2,2,2,,,,,,
14,178,0,0,45.163367,0,11.656854,10.242641,7.828427,3,3,2,2,2,2,,,,,,
15,363,0,0,64.495532,2,211.651804,77.083261,30.142136,14.485281,4.828427,3.828427,2.828427,2.828427,2.414214,2.414214,2,2,,,
16,538,0,538,78.517679,2,162.024387,90.769553,45.627417,29.727922,9.242641,7.414214,5.414214,5.414214,5.242641,4.414214,2.828427,2.828427,2,2,2
17,111,0,0,35.664637,2,139.669048,42.79899,5.828427,3,3,2,2,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,2449.596254,,,,,,,,,,,,,,
